pubchem_cid,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,Ncharges,C,H,N,O,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,F,Cl,Br,S,P,B,I,K,Sb,Hg,Pt,V,Zn,Cr,Se,As,abonds,atoms,dbonds,logP,nF,sbonds,tbonds
119,2.821938937,62.71013448,5.698670613,4.054132499,4.054132499,3.27005561,2.189532624,2.189532624,1.285967068,1.285967068,0.594766312,0.594766312,0.253287798,0.253287798,5.969305288,4.794537184,0,6.420821623,12.96557803,0,0,0,0,0,10.84019487,103.0633285,1.714285714,2.285714286,2.428571429,0.75,-0.57,7,94.049,29.01955001,6.43,3.614162063,5.43,42.12972392,9.702638889,0.481229794,9.702638889,0.302889124,0.190972222,0.302889124,-0.772731481,-0.481229794,-0.1901,25.9242,103.121,3,3,0,0,0,0,0,0,2,2,3,0,3,0,0,0,42,10.84019487,0,0,0,0,5.969305288,4.794537184,0,0,0,0,12.96557803,6.420821623,0,0,9.901064579,5.969305288,0,0,5.733667477,12.84164325,6.544756406,0,0,0,5.733667477,0,0,0,17.62058909,4.794537184,0,12.84164325,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,23.16666667,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520009216,102.112998,2.5343,9,2,1,1,1,0,0,0.5,6,0,0,33.404,14,0,0,0,0,67.77,5.507267077,0.979867955,4.620417578,7,4.166666667,71,65,0,4,9,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0.5102,0,14,0
389,3.265907399,94.95878456,7.276020882,5.208833037,5.208833037,4.180739213,2.866235992,2.866235992,1.8756344,1.8756344,1.036449932,1.036449932,0.461239621,0.461239621,12.01114612,4.794537184,0,0,19.38639965,0,0,0,0,0,16.57386235,132.0898776,1.666666667,2.222222222,2.555555556,0.8,-0.61,9,120.067,80.20139956,8.39,4.286691532,3.931271989,53.83455673,10.03932634,0.480086443,10.03932634,0.319968171,0.46412037,0.319968171,-0.955138889,-0.480086443,-0.8628,33.8996,132.163,5,4,0,0,0,0,0,0,3,3,4,0,4,0,0,0,54,16.57386235,6.041840829,0,0,0,5.969305288,4.794537184,0,0,0,0,19.38639965,0,0,0,9.901064579,5.969305288,0,0,11.46733495,18.88348407,6.544756406,0,0,0,11.46733495,0,0,0,23.66242992,4.794537184,0,12.84164325,0,0,0,0,89.34,0,0,0,0,0,0,0,0,0,28.5,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463886112,131.1549977,3.5332,12,2,2,1,1,0,0,0.5,8,0,0,45.1585,19,0,0,0,0,95.41,6.91778223,0.977385441,6.077844561,9,4.839506173,96,93,0,5,12,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0.5378,0,19,0
586,3.632432152,133.7744375,7.439157589,5.087132532,5.087132532,4.03658126,2.307007627,2.307007627,1.635041284,1.635041284,0.783678103,0.783678103,0.288062618,0.288062618,5.969305288,4.794537184,0,12.50431097,0,4.899909731,7.047671983,0,0,0,16.24947848,131.0694765,1.888888889,2.333333333,2.444444444,0.5,-1.26,9,122.063,60.47184355,7.74,2.907105656,3.33347181,52.57490859,9.920277778,0.479925043,9.920277778,0.322692925,0.226851852,0.322692925,-0.99287037,-0.479925043,-1.10373,32.1799,131.135,4,5,0,0,0,0,0,0,2,3,5,0,2,0,0,0,52,15.7401046,6.544756406,5.959554569,0,0,5.969305288,10.20382079,0,0,0,0,0,7.047671983,0,0,9.901064579,11.92885986,5.409283606,4.899909731,5.733667477,0,13.59242839,0,0,0,5.733667477,0,0,0,35.52772537,4.794537184,5.409283606,0,0,0,0,0,90.41,0,0,0,0,0,0,0,0,0,30.83333333,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327362746,130.1269979,2.0885,12,5,2,2,1,0,2,0.375,8,0,0,38.5387,16,0,0,0,0,93.24,5.600457972,0.98027197,4.713167513,9,3.92,77,69,0,4,9,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,-0.3037,0,15,0
598,3.602196822,123.8703336,5.914213562,3.533385625,5.244309397,3.060660172,1.62081042,3.862431259,1.009645228,3.028935685,0.349240853,1.595445115,0.115360428,1.038243855,10.11812686,8.417796984,0,11.50570721,0,0,0,0,0,12.62878915,4.552749874,141.9758361,1.571428571,2,2,1,0.26,7,136.153,18.14170945,7.26,2.53855003,6.26,47.88789582,9.737916667,0.285519187,9.737916667,0.265159223,0.165509259,0.265159223,-3.750578704,-0.285519187,-0.196,30.2686,142.201,1,3,0,0,0,0,0,0,3,2,5,0,2,0,0,0,44,0,0,0,0,10.11812686,0,4.552749874,0,21.04658613,0,0,0,5.752853607,5.752853607,0,12.97054686,22.74691601,0,0,0,0,11.50570721,0,0,0,0,0,0,12.62878915,24.47625407,10.11812686,0,0,0,0,0,0,54.37,0,-0.175679012,0,0,0,0,0,0,27.41680556,-0.102237654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414617736,142.2010009,2.2437,9,4,2,2,1,0,0,0.333333333,6,0,0,37.6208,12,0,0,0,2,104.38,5.620185004,0.983787548,4.712803559,7,2.34375,58,56,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0.8848,0,10,0
938,2.981454614,207.5576621,6.690234444,4.612076558,4.612076558,4.304530453,2.438145658,2.438145658,1.546852964,1.546852964,0.908487512,0.908487512,0.489267188,0.489267188,5.969305288,4.794537184,0,5.563451492,0,0,18.46005421,6.066367068,0,4.983978521,5.106527395,123.0320284,1.666666667,2.444444444,2.777777778,0,-1.38,9,118.071,129.2253387,5.751233596,2.259334201,1.2528322,51.97174907,10.16092593,0.477598632,10.16092593,0.336758501,0.219907407,0.336758501,-0.941574074,-0.477598632,0.7798,31.1963,123.111,1,3,0,0,0,0,1,1,2,1,3,0,1,0,0,0,46,5.106527395,0,0,0,0,5.969305288,4.983978521,4.794537184,0,0,0,12.13273414,12.39368714,5.563451492,1,9.901064579,5.969305288,0,4.983978521,0,0,0,30.08987277,0,0,0,0,0,0,16.0598112,0,0,10.35798868,24.52642128,0,0,0,50.19,0,0,0,0,0,0,0,0,0,27.33333333,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.599868943,122.1029973,1.5698,6,3,0,1,1,0,0,0.111111111,9,1,0,33.482,13,0,0,0,0,53.02,6.9138058,0.981265958,6.045802151,7.111111111,3.239669421,63,66,0,6,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,1,0.7798,0,7,0
942,2.194591658,245.275309,8.388905057,7.402498881,7.402498881,5.877010098,4.478978392,4.478978392,3.424992539,3.424992539,2.589629436,2.589629436,1.904487451,1.904487451,0,0,0,0,6.041840829,0,24.94985114,0,18.46005421,22.9979273,0,162.1156984,1.583333333,2.5,3.083333333,0.5,-0.89,12,148.124,1072.900983,7.743335629,3.232933926,1.344570625,73.22976419,4.137037037,0.299307149,4.137037037,0.036029667,0.609907407,0.036029667,0.609907407,-0.299307149,1.8483,48.842,162.236,0,2,0,1,1,0,1,1,2,0,2,0,1,0,1,1,64,0,0,0,0,0,0,9.883888252,0,0,0,6.066367068,38.06389019,18.43552797,0,2,0,0,0,9.883888252,0,18.88348407,13.59242839,30.08987277,0,0,0,0,0,0,23.47631664,0,0,24.44693557,24.52642128,0,0,0,16.13,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.626151823,162.235997,4.5817,15,1,1,1,0,0,1,0.076923077,13,2,0,62.7539,27,0,0,0,0,17.33,8.223867296,1.081282219,6.605662196,8.591715976,3.806228374,138,144,0,10,14,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,1.7862,0,21,0
967,3.420649107,359.7091581,8.43072142,5.249308736,5.249308736,5.092224153,2.663329503,2.663329503,1.806540182,1.806540182,0.990770616,0.990770616,0.583925862,0.583925862,22.91224358,14.38361155,0,0,0,6.066367068,0,0,9.967957042,0,5.106527395,156.0171066,1.363636364,2,2.454545455,0,-1.85,11,152.065,243.6781765,7.259289617,2.409451488,1.539554121,59.51444125,10.47666667,0.476563038,10.47666667,0.352152306,0.417824074,0.352152306,-1.33962963,-0.476563038,-1.2386,34.6427,156.097,3,6,0,0,0,0,1,1,3,3,6,0,1,0,0,0,58,10.09050592,5.693927995,0,0,5.559266895,11.65904869,9.778515705,9.589074368,0,0,0,0,6.066367068,0,1,9.901064579,5.969305288,0,9.967957042,0,0,0,32.59837972,0,0,11.24901029,0,0,0,21.04378972,0,0,10.48846518,15.65544144,0,0,0,103.02,0,0,0,0,0,0,0,0,0,40.66666667,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472751725,155.0889968,-0.3892,6,4,2,3,1,0,0,0.090909091,11,1,0,35.6828,14,0,0,0,0,105.85,6.83545625,0.979860075,5.975951385,9.090909091,3.6,70,78,0,5,4,2,4,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,3,-1.2386,0,6,0
1101,4.07958305,146.9737366,9.723614639,6.290580638,6.290580638,5.54011122,3.328319829,3.328319829,2.309778353,2.309778353,1.390498551,1.390498551,0.602409331,0.602409331,37.30890804,4.794537184,0,0,0,0,0,0,0,0,25.53263697,180.0633881,1.166666667,1.666666667,2,0.833333333,-0.53,12,168.06,358.7532296,11.47,5.175013037,2.838808992,68.69665246,10.52087113,0.39357889,10.52087113,0.18877031,0.766929327,0.18877031,-1.86375,-0.39357889,-3.3772,37.199,180.156,5,6,0,0,0,0,0,0,6,5,6,0,5,0,0,0,72,25.53263697,24.91878113,5.783244946,0,0,0,4.794537184,0,0,0,0,0,0,6.606881965,0,30.32717416,5.783244946,0,0,0,18.31189916,13.21376393,0,0,0,0,0,0,0,62.84154501,4.794537184,0,0,0,0,0,0,118.22,0,0,0,0,0,0,0,0,0,45.66666667,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301092062,180.1559958,-1.7584,18,6,5,5,0,5,0,0.454545455,11,0,0,51.339,23,0,0,0,0,118.22,6.675631186,0.970442818,5.878953669,12,5.612244898,110,115,0,6,12,0,6,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,-3.3772,0,22,0
1102,2.647604849,48.81290899,7.656854249,6.604448007,6.604448007,4.914213562,4.023603362,4.023603362,2.388010441,2.388010441,1.365355072,1.365355072,0.74639964,0.74639964,0,0,0,0,0,39.02066887,6.420821623,0,0,5.316788604,11.46733495,145.1578976,0.8,1.4,2,1,-0.12,10,126.098,175.076748,9.88,8.88,7.88,63.15854729,5.32164155,0.330472668,5.32164155,-0.003689862,0.781635802,0.003689862,0.781635802,-0.330472668,-0.3363,44.8295,145.25,5,3,0,0,0,0,0,0,3,3,3,0,7,0,0,0,62,16.78412356,0,0,0,0,0,0,0,0,0,0,45.44149049,0,0,0,0,0,0,5.316788604,11.46733495,19.26246487,26.17902562,0,0,0,16.78412356,0,0,0,26.17902562,0,0,19.26246487,0,0,0,0,64.07,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.429543725,145.249998,6.1335,19,0,3,0,0,0,1,0.777777778,9,0,0,67.3641,28,0,0,0,0,71.89,8.676213406,1.011248206,7.57970709,10,9,139,128,0,7,19,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1.4552,0,28,0
1103,2.784765531,86.12278798,10.48528137,9.22576835,9.22576835,6.914213562,5.730710143,5.730710143,3.491563832,3.491563832,2.072461853,2.072461853,1.204124145,1.204124145,0,0,0,0,0,52.11018168,12.84164325,0,0,10.63357721,11.46733495,202.2157468,0.571428571,0.928571429,1.285714286,1,-0.16,14,176.138,1347.912253,13.84,12.84,11.84,87.80323582,5.377234495,0.330424745,5.377234495,-0.003689861,0.785361422,0.003689861,0.785361422,-0.330424745,-0.3566,62.3162,202.346,6,4,0,0,0,0,0,0,4,4,4,0,11,0,0,0,86,22.10091216,0,0,0,0,0,0,0,0,0,0,64.95182493,0,0,0,0,0,0,10.63357721,11.46733495,25.68328649,39.26853844,0,0,0,22.10091216,0,0,0,39.26853844,0,0,25.68328649,0,0,0,0,76.1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.345280606,202.3459971,8.3636,26,0,4,0,0,0,2,0.846153846,13,0,0,93.1492,39,0,0,0,0,88.5,10.37792313,1.011849564,9.256389389,14,13,196,184,0,10,26,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,1.8258,0,39,0
