"CID","CanonicalSMILES","IsomericSMILES"
119,"C(CC(=O)O)CN","C(CC(=O)O)CN"
389,"C(CC(C(=O)O)N)CN","C(CC(C(=O)O)N)CN"
586,"CN(CC(=O)O)C(=N)N","CN(CC(=O)O)C(=N)N"
598,"C(CS(=O)(=O)O)S","C(CS(=O)(=O)O)S"
938,"C1=CC(=CN=C1)C(=O)O","C1=CC(=CN=C1)C(=O)O"
942,"CN1CCCC1C2=CN=CC=C2","CN1CCCC1C2=CN=CC=C2"
967,"C1=C(NC(=O)NC1=O)C(=O)O","C1=C(NC(=O)NC1=O)C(=O)O"
1101,"C(C(C(C(C(=O)CO)O)O)O)O","C(C(C(C(C(=O)CO)O)O)O)O"
1102,"C(CCNCCCN)CN","C(CCNCCCN)CN"
1103,"C(CCNCCCN)CNCCCN","C(CCNCCCN)CNCCCN"
1123,"C(CS(=O)(=O)O)N","C(CS(=O)(=O)O)N"
1130,"CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO","CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO"
1174,"C1=CNC(=O)NC1=O","C1=CNC(=O)NC1=O"
1175,"C12=C(NC(=O)N1)NC(=O)NC2=O","C12=C(NC(=O)N1)NC(=O)NC2=O"
1212,"CC(C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N","CC(C1=CC=C(C=C1)C2=NNN=N2)(C(=O)O)N"
1400,"CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C","CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C"
1401,"CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C","CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C"
1645,"C1=CC(=CC(=C1)N)C(=O)N","C1=CC(=CC(=C1)N)C(=O)N"
